giornata;scorer;details
4;Lucas Martínez Quarta;Lucas Martínez Quarta, Sinistro, 1° gol stagionaleAssist: Senza assist
4;Mateo Retegui;Mateo Retegui, Colpo di testa, 4° gol stagionaleAssist:Ademola Lookman, Cross, 1° assist stagionale
4;Moise Kean;Moise Kean, Destro, 2° gol stagionaleAssist:Robin Gosens, Colpo di testa, 1° assist stagionale
4;Charles De Ketelaere;Charles De Ketelaere, Colpo di testa, 1° gol stagionaleAssist:Éderson, Cross, 1° assist stagionale
4;Ademola Lookman;Ademola Lookman, Destro, 1° gol stagionaleAssist:Charles De Ketelaere, Passaggio, 1° assist stagionale
5;Davide Zappacosta;Davide Zappacosta, Destro, 1° gol stagionaleAssist: Senza assist
5;Gabriel Strefezza;Gabriel Strefezza, Destro, 1° gol stagionaleAssist:Sergi Roberto, Passaggio, 1° assist stagionale
5;Sead Kolasinac;Sead Kolasinac, AutoreteAssist:Nico Paz, Tiro in porta, 1° assist stagionale
5;Alieu Fadera;Alieu Fadera, Sinistro, 1° gol stagionaleAssist:Nico Paz, Passaggio, 2° assist stagionale
5;Ademola Lookman;Ademola Lookman, Rigore, 2° gol stagionaleAssist:Vanja Vlahovic, Rigore: fallo ai danni di
6;Santiago Castro;Santiago Castro, Destro, 3° gol stagionaleAssist:Dan Ndoye, Passaggio, 1° assist stagionale
6;Lazar Samardžić;Lazar Samardžić, Sinistro, 1° gol stagionaleAssist:Nicolò Zaniolo, Passaggio, 1° assist stagionale
7;Mateo Retegui;Mateo Retegui, Destro, 5° gol stagionaleAssist:Ademola Lookman, Passaggio, 2° assist stagionale
7;Mateo Retegui;Mateo Retegui, Sinistro, 6° gol stagionaleAssist: Senza assist
7;Éderson;Éderson, Destro, 1° gol stagionaleAssist:Mateo Retegui, Passaggio, 1° assist stagionale
7;Mateo Retegui;Mateo Retegui, Rigore, 7° gol stagionaleAssist: Rigore: mani diAlessandro Vogliacco
7;Marten de Roon;Marten de Roon, Destro, 1° gol stagionaleAssist: Senza assist
7;Jeff Ekhator;Jeff Ekhator, Destro, 1° gol stagionaleAssist:Filippo Melegoni, Passaggio, 1° assist stagionale
8;Mario Pasalic;Mario Pasalic, Sinistro, 1° gol stagionaleAssist:Mateo Retegui, Colpo di testa, 2° assist stagionale
8;Mateo Retegui;Mateo Retegui, Destro, 8° gol stagionaleAssist: Senza assist
9;Marten de Roon;Marten de Roon, Destro, 2° gol stagionaleAssist:Ademola Lookman, Passaggio, 3° assist stagionale
9;Mateo Retegui;Mateo Retegui, Sinistro, 9° gol stagionaleAssist: Senza assist
9;Charles De Ketelaere;Charles De Ketelaere, Sinistro, 2° gol stagionaleAssist:Ademola Lookman, Passaggio, 4° assist stagionale
9;Ademola Lookman;Ademola Lookman, Azione personale, 3° gol stagionaleAssist: Senza assist
9;Ademola Lookman;Ademola Lookman, Destro, 4° gol stagionaleAssist:Charles De Ketelaere, Passaggio, 2° assist stagionale
9;Amin Sarr;Amin Sarr, Sinistro, 1° gol stagionaleAssist:Reda Belahyane, Passaggio, 2° assist stagionale
9;Mateo Retegui;Mateo Retegui, Sinistro, 10° gol stagionaleAssist:Charles De Ketelaere, Passaggio, 3° assist stagionale
10;Lazar Samardžić;Lazar Samardžić, Sinistro, 2° gol stagionaleAssist:Mateo Retegui, Passaggio, 3° assist stagionale
10;Davide Zappacosta;Davide Zappacosta, Destro, 2° gol stagionaleAssist:Lazar Samardžić, Passaggio, 1° assist stagionale
11;Ademola Lookman;Ademola Lookman, Sinistro, 5° gol stagionaleAssist:Charles De Ketelaere, Passaggio, 4° assist stagionale
11;Ademola Lookman;Ademola Lookman, Destro, 6° gol stagionaleAssist:Charles De Ketelaere, Passaggio, 5° assist stagionale
11;Mateo Retegui;Mateo Retegui, Destro, 11° gol stagionaleAssist:Raoul Bellanova, Cross, 2° assist stagionale
12;Hassane Kamara;Hassane Kamara, Sinistro, 1° gol stagionaleAssist:Florian Thauvin, Passaggio, 2° assist stagionale
12;Mario Pasalic;Mario Pasalic, Destro, 2° gol stagionaleAssist:Raoul Bellanova, Passaggio, 3° assist stagionale
12;Isaak Touré;Isaak Touré, AutoreteAssist:Raoul Bellanova, Cross, 4° assist stagionale
13;Mateo Retegui;Mateo Retegui, Colpo di testa, 12° gol stagionaleAssist:Raoul Bellanova, Cross, 5° assist stagionale
13;Éderson;Éderson, Destro, 2° gol stagionaleAssist:Matteo Ruggeri, Passaggio, 2° assist stagionale
13;Matteo Cancellieri;Matteo Cancellieri, Sinistro, 2° gol stagionaleAssist:Valentin Mihăilă, Passaggio, 2° assist stagionale
13;Ademola Lookman;Ademola Lookman, Sinistro, 7° gol stagionaleAssist:Juan Cuadrado, Cross, 1° assist stagionale
14;Marten de Roon;Marten de Roon, Tiro deviato, 3° gol stagionaleAssist: Senza assist
14;Nicolò Zaniolo;Nicolò Zaniolo, Colpo di testa, 1° gol stagionaleAssist:Juan Cuadrado, Corner, 2° assist stagionale
15;Charles De Ketelaere;Charles De Ketelaere, Colpo di testa, 3° gol stagionaleAssist:Marten de Roon, Punizione, 1° assist stagionale
15;Álvaro Morata;Álvaro Morata, Destro, 4° gol stagionaleAssist:Rafael Leão, Passaggio, 5° assist stagionale
15;Ademola Lookman;Ademola Lookman, Colpo di testa, 8° gol stagionaleAssist:Sead Kolasinac, Colpo di testa, 1° assist stagionale
16;Nicolò Zaniolo;Nicolò Zaniolo, Sinistro, 2° gol stagionaleAssist:Raoul Bellanova, Passaggio, 6° assist stagionale
17;Lorenzo Colombo;Lorenzo Colombo, Sinistro, 4° gol stagionaleAssist:Liam Henderson, Passaggio, 1° assist stagionale
17;Charles De Ketelaere;Charles De Ketelaere, Colpo di testa, 4° gol stagionaleAssist:Davide Zappacosta, Cross, 2° assist stagionale
17;Ademola Lookman;Ademola Lookman, Destro, 9° gol stagionaleAssist:Nicolò Zaniolo, Passaggio, 2° assist stagionale
17;Sebastiano Esposito;Sebastiano Esposito, Rigore, 5° gol stagionaleAssist:Alberto Grassi, Rigore: fallo ai danni di
17;Charles De Ketelaere;Charles De Ketelaere, Sinistro, 5° gol stagionaleAssist:Mario Pasalic, Passaggio, 2° assist stagionale
1;Dailon Rocha Livramento;Dailon Rocha Livramento, Destro, 1° gol stagionaleAssist:Darko Lazović, Passaggio, 1° assist stagionale
1;Daniel Mosquera;Daniel Mosquera, Destro, 1° gol stagionaleAssist:Ondrej Duda, Passaggio, 1° assist stagionale
1;Daniel Mosquera;Daniel Mosquera, Destro, 2° gol stagionaleAssist:Darko Lazović, Passaggio, 2° assist stagionale
2;Giovanni Di Lorenzo;Giovanni Di Lorenzo, Sinistro, 1° gol stagionaleAssist:Khvicha Kvaratskhelia, Passaggio, 1° assist stagionale
2;Khvicha Kvaratskhelia;Khvicha Kvaratskhelia, Sinistro, 1° gol stagionaleAssist:Amir Rrahmani, Passaggio, 1° assist stagionale
2;Giovanni Simeone;Giovanni Simeone, Destro, 1° gol stagionaleAssist:David Neres, Passaggio, 1° assist stagionale
