,Name,Role,Market Value,Squadra,Season
155,Leonardo Spinazzola,Terzino sinistro,10000000.0,AS Roma,2022
156,Matías Viña,Terzino sinistro,8000000.0,AS Roma,2022
157,Jan Oliveras,Terzino sinistro,175000.0,AS Roma,2022
158,Matteo Falasca,Terzino sinistro,100000.0,AS Roma,2022
159,Zeki Çelik,Terzino destro,10000000.0,AS Roma,2022
160,Rick Karsdorp,Terzino destro,7000000.0,AS Roma,2022
161,Filippo Missori,Terzino destro,800000.0,AS Roma,2022
162,Corentin Louakima,Terzino destro,100000.0,AS Roma,2022
163,Bryan Cristante,Mediano,20000000.0,AS Roma,2022
164,Nemanja Matic,Mediano,4000000.0,AS Roma,2022
165,Ebrima Darboe,Mediano,1800000.0,AS Roma,2022
166,Benjamin Tahirovic,Mediano,1500000.0,AS Roma,2022
167,Giacomo Faticanti,Mediano,800000.0,AS Roma,2022
168,Filippo Tripi,Mediano,300000.0,AS Roma,2022
169,Mady Camara,Centrale,10000000.0,AS Roma,2022
170,Edoardo Bove,Centrale,10000000.0,AS Roma,2022
171,Georginio Wijnaldum,Centrale,8000000.0,AS Roma,2022
172,Niccolò Pisilli,Centrale,1000000.0,AS Roma,2022
173,Riccardo Pagano,Centrale,900000.0,AS Roma,2022
174,Nicola Zalewski,Centrocampista di sinistra,20000000.0,AS Roma,2022
175,Lorenzo Pellegrini,Trequartista,35000000.0,AS Roma,2022
176,Nicolò Zaniolo,Trequartista,27000000.0,AS Roma,2022
177,Cristian Volpato,Trequartista,3000000.0,AS Roma,2022
178,Ante Coric,Trequartista,300000.0,AS Roma,2022
179,Claudio Cassano,Trequartista,200000.0,AS Roma,2022
180,Stephan El Shaarawy,Ala sinistra,5000000.0,AS Roma,2022
181,Luigi Cherubini,Ala sinistra,200000.0,AS Roma,2022
182,Ola Solbakken,Ala destra,3500000.0,AS Roma,2022
183,Paulo Dybala,Seconda punta,30000000.0,AS Roma,2022
184,Tammy Abraham,Punta centrale,40000000.0,AS Roma,2022
185,Andrea Belotti,Punta centrale,8000000.0,AS Roma,2022
186,Eldor Shomurodov,Punta centrale,6000000.0,AS Roma,2022
187,Felix Afena-Gyan,Punta centrale,5000000.0,AS Roma,2022
188,Jordan Majchrzak,Punta centrale,400000.0,AS Roma,2022
189,Juan Musso,Portiere,8000000.0,Atalanta BC,2022
190,Marco Sportiello,Portiere,1500000.0,Atalanta BC,2022
191,Tommaso Bertini,Portiere,100000.0,Atalanta BC,2022
192,Francesco Rossi,Portiere,100000.0,Atalanta BC,2022
193,Giorgio Scalvini,Difensore centrale,40000000.0,Atalanta BC,2022
194,Merih Demiral,Difensore centrale,20000000.0,Atalanta BC,2022
195,Caleb Okoli,Difensore centrale,10000000.0,Atalanta BC,2022
