,anno,giornata,Home Team,Away Team,scorer,numero_goal_partita,team_goal,goal,goal_home,goal_away,assist
4290,2024,19,ACF Fiorentina,SSC Napoli,Romelu Lukaku,2.0,away,0:2,0.0,2.0,Frank Anguissa
4291,2024,19,ACF Fiorentina,SSC Napoli,Scott McTominay,3.0,away,0:3,0.0,3.0,
4292,2024,1,Cagliari Calcio,AS Roma,,,,,,,
4293,2024,2,AS Roma,Empoli FC,Emmanuel Gyasi,1.0,away,0:1,0.0,1.0,Lorenzo Colombo
4294,2024,2,AS Roma,Empoli FC,Lorenzo Colombo,2.0,away,0:2,0.0,2.0,Sebastiano Esposito
4295,2024,2,AS Roma,Empoli FC,Eldor Shomurodov,3.0,home,1:2,1.0,2.0,Tommaso Baldanzi
4297,2024,4,Genoa CFC,AS Roma,Artem Dovbyk,1.0,away,0:1,0.0,1.0,Senza assist
4298,2024,4,Genoa CFC,AS Roma,Koni De Winter,2.0,home,1:1,1.0,1.0,Vitinha
4299,2024,5,AS Roma,Udinese Calcio,Artem Dovbyk,1.0,home,1:0,1.0,0.0,Stephan El Shaarawy
4300,2024,5,AS Roma,Udinese Calcio,Paulo Dybala,2.0,home,2:0,2.0,0.0,Paulo Dybala
4301,2024,5,AS Roma,Udinese Calcio,Tommaso Baldanzi,3.0,home,3:0,3.0,0.0,Artem Dovbyk
4302,2024,6,AS Roma,Venezia FC,Joel Pohjanpalo,1.0,away,0:1,0.0,1.0,Senza assist
4303,2024,6,AS Roma,Venezia FC,Bryan Cristante,2.0,home,1:1,1.0,1.0,Lorenzo Pellegrini
4304,2024,6,AS Roma,Venezia FC,Niccolò Pisilli,3.0,home,2:1,2.0,1.0,Leandro Paredes
4305,2024,7,AC Monza,AS Roma,Artem Dovbyk,1.0,away,0:1,0.0,1.0,Bryan Cristante
4306,2024,7,AC Monza,AS Roma,Dany Mota,2.0,home,1:1,1.0,1.0,Senza assist
4308,2024,9,ACF Fiorentina,AS Roma,Moise Kean,1.0,home,1:0,1.0,0.0,Lucas Beltrán
4309,2024,9,ACF Fiorentina,AS Roma,Lucas Beltrán,2.0,home,2:0,2.0,0.0,Edoardo Bove
4310,2024,9,ACF Fiorentina,AS Roma,Manu Koné,3.0,away,2:1,2.0,1.0,Evan Ndicka
4311,2024,9,ACF Fiorentina,AS Roma,Moise Kean,4.0,home,3:1,3.0,1.0,Edoardo Bove
4312,2024,9,ACF Fiorentina,AS Roma,Edoardo Bove,5.0,home,4:1,4.0,1.0,Yacine Adli
4313,2024,9,ACF Fiorentina,AS Roma,Mats Hummels,6.0,home,5:1,5.0,1.0,Christian Kouamé
4314,2024,10,AS Roma,Torino FC,Paulo Dybala,1.0,home,1:0,1.0,0.0,Senza assist
4315,2024,11,Hellas Verona FC,AS Roma,Casper Tengstedt,1.0,home,1:0,1.0,0.0,Senza assist
4316,2024,11,Hellas Verona FC,AS Roma,Matías Soulé,2.0,away,1:1,1.0,1.0,Nicola Zalewski
4317,2024,11,Hellas Verona FC,AS Roma,Giangiacomo Magnani,3.0,home,2:1,2.0,1.0,Ondrej Duda
